Language,Min,Max,Mean,Median,Q1,Q3,Outliers_Count
tam_Taml,6,769,208.46,198.0,128.0,274.0,19
tat_Cyrl,6,405,92.45,85.0,57.0,122.0,20
tel_Telu,6,685,212.44,203.0,134.0,278.0,22
tgk_Cyrl,2,296,92.1,86.0,56.0,121.0,31
tha_Thai,6,386,104.72,97.0,63.0,139.0,24
tir_Ethi,6,643,190.27,179.0,119.0,245.0,28
ton_Latn,5,247,85.76,81.0,53.0,113.0,28
tsn_Latn,4,197,61.72,58.0,37.0,82.0,23
tuk_Latn,4,260,65.96,61.0,40.0,87.0,25
tur_Latn,3,191,50.06,47.0,31.0,66.0,26
uig_Arab,7,574,155.3,146.0,93.0,202.0,33
ukr_Cyrl,5,244,78.14,73.0,47.0,104.0,18
urd_Arab,6,334,112.3,104.0,70.0,148.0,21
uzb_Latn,4,197,60.5,56.0,38.0,80.0,26
ven_Latn,5,232,67.07,62.0,41.0,88.0,41
vie_Latn,5,189,64.2,60.0,40.0,83.0,39
wol_Latn,3,147,47.21,44.0,29.0,61.0,23
xho_Latn,3,186,53.48,50.0,32.0,70.0,20
yor_Latn,3,411,101.81,89.0,57.0,134.0,57
yue_Hant,5,217,61.78,58.0,38.0,80.0,27
zho_Hans,5,200,49.82,47.0,30.0,66.0,29
zho_Hant,4,174,56.07,52.0,34.0,73.0,28
zul_Latn,4,182,50.73,48.0,31.0,67.0,17
